service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20240908,20250222
11,0,0,0,0,0,0,0,20240908,20250222
12,0,0,0,0,0,1,0,20240908,20250222
13,0,0,0,0,0,0,1,20240908,20250222
16,1,1,1,1,1,0,0,20240908,20250222
18,0,0,0,0,0,1,0,20240908,20250222
19,0,0,0,0,0,0,1,20240908,20250222
22,1,1,1,1,1,0,0,20240908,20250222
24,0,0,0,0,0,1,0,20240908,20250222
25,0,0,0,0,0,0,1,20240908,20250222
28,1,1,1,1,1,0,0,20240908,20250222
30,0,0,0,0,0,1,0,20240908,20250222
31,0,0,0,0,0,0,1,20240908,20250222
40,1,1,1,1,1,0,0,20240908,20250216
42,0,0,0,0,0,1,0,20240908,20250216
43,0,0,0,0,0,0,1,20240908,20250216
46,1,1,1,1,1,0,0,20240908,20250222
48,0,0,0,0,0,1,0,20240908,20250222
49,0,0,0,0,0,0,1,20240908,20250222
52,1,1,1,1,1,0,0,20240908,20250222
54,0,0,0,0,0,1,0,20240908,20250222
55,0,0,0,0,0,0,1,20240908,20250222
68,0,0,0,0,0,0,0,20240908,20250222
69,0,0,0,0,0,0,0,20240908,20250222
