route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
101,40,942028,Providence Road,,0,4101,295501,0,
101,40,942049,Woodland Avenue,,0,4103,295502,0,
101,40,942029,Media,,0,4104,295500,0,
101,40,942027,Media,,0,4105,295500,0,
101,40,942019,Media,,0,4102,295500,0,
101,40,942037,Media,,0,4103,295500,0,
101,40,942030,Media,,0,4101,295500,0,
101,40,942031,Media,,0,4106,295500,0,
101,40,942032,Media,,0,4107,295500,0,
101,40,942033,Media,,0,4108,295500,0,
101,40,942034,Media,,0,4104,295500,0,
101,40,942050,Media,,0,4109,295500,0,
101,40,942052,Media,,0,4106,295500,0,
101,40,942053,Media,,0,4107,295500,0,
101,40,942054,Media,,0,4101,295500,0,
101,40,949933,Woodland Avenue,,0,4112,295502,0,
101,40,942055,Media,,0,4109,295500,0,
101,40,942039,Media,,0,4103,295500,0,
101,40,942040,Media,,0,4104,295500,0,
101,40,942041,Media,,0,4102,295500,0,
101,40,942042,Media,,0,4107,295500,0,
101,40,942043,Media,,0,4101,295500,0,
101,40,942044,Media,,0,4109,295500,0,
101,40,942045,Media,,0,4103,295500,0,
101,40,942046,Media,,0,4104,295500,0,
101,40,942047,Media,,0,4102,295500,0,
101,40,949936,Woodland Avenue,,0,4113,295502,0,
101,40,942056,Media,,0,4109,295500,0,
101,40,942048,Media,,0,4103,295500,0,
101,40,942010,Media,,0,4101,295500,0,
101,40,942012,Media,,0,4118,295500,0,
101,40,942011,Media,,0,4102,295500,0,
101,40,942051,Media,,0,4109,295500,0,
101,40,942013,Media,,0,4103,295500,0,
101,40,942014,Media,,0,4114,295500,0,
101,40,942015,Media,,0,4107,295500,0,
101,40,942016,Media,,0,4102,295500,0,
101,40,942017,Media,,0,4104,295500,0,
101,40,942018,Media,,0,4118,295500,0,
101,40,942020,Media,,0,4107,295500,0,
101,40,942036,Media,,0,4109,295500,0,
101,40,942008,Media,,0,4104,295500,0,
101,40,942038,Media,,0,4118,295500,0,
101,40,942007,Media,,0,4101,295500,0,
101,40,942009,Media,,0,4104,295500,0,
101,40,942022,Media,,0,4118,295500,0,
101,40,942035,Media,,0,4101,295500,0,
101,40,942021,Media,,0,4104,295500,0,
101,40,942023,Media,,0,4118,295500,0,
101,40,942026,Media,,0,4101,295500,0,
101,40,942024,Media,,0,4114,295500,0,
101,40,942025,Providence Road,,0,4109,295501,0,
101,40,942080,69th Street Transportation Center,,1,4101,295503,0,
101,40,942102,69th Street Transportation Center,,1,4103,295504,0,
101,40,942081,69th Street Transportation Center,,1,4104,295505,0,
101,40,942082,69th Street Transportation Center,,1,4105,295505,0,
101,40,942087,69th Street Transportation Center,,1,4102,295505,0,
101,40,942083,69th Street Transportation Center,,1,4103,295505,0,
101,40,942097,69th Street Transportation Center,,1,4101,295505,0,
101,40,942098,69th Street Transportation Center,,1,4106,295505,0,
101,40,942099,69th Street Transportation Center,,1,4107,295505,0,
101,40,942100,69th Street Transportation Center,,1,4108,295505,0,
101,40,942101,69th Street Transportation Center,,1,4104,295505,0,
101,40,942077,69th Street Transportation Center,,1,4109,295505,0,
101,40,942103,69th Street Transportation Center,,1,4106,295505,0,
101,40,942104,69th Street Transportation Center,,1,4107,295505,0,
101,40,949934,69th Street Transportation Center,,1,4112,295504,0,
101,40,942105,69th Street Transportation Center,,1,4101,295505,0,
101,40,942058,69th Street Transportation Center,,1,4109,295505,0,
101,40,942059,69th Street Transportation Center,,1,4103,295505,0,
101,40,942060,69th Street Transportation Center,,1,4104,295505,0,
101,40,942061,69th Street Transportation Center,,1,4102,295505,0,
101,40,942062,69th Street Transportation Center,,1,4107,295505,0,
101,40,942063,69th Street Transportation Center,,1,4101,295505,0,
101,40,942073,69th Street Transportation Center,,1,4109,295505,0,
101,40,942074,69th Street Transportation Center,,1,4103,295505,0,
101,40,949935,69th Street Transportation Center,,1,4113,295504,0,
101,40,942075,69th Street Transportation Center,,1,4104,295505,0,
101,40,942076,69th Street Transportation Center,,1,4102,295505,0,
101,40,942106,69th Street Transportation Center,,1,4109,295505,0,
101,40,942057,69th Street Transportation Center,,1,4103,295505,0,
101,40,942084,69th Street Transportation Center,,1,4101,295505,0,
101,40,942085,69th Street Transportation Center,,1,4118,295505,0,
101,40,942095,69th Street Transportation Center,,1,4102,295505,0,
101,40,942096,69th Street Transportation Center,,1,4109,295505,0,
101,40,942066,69th Street Transportation Center,,1,4103,295505,0,
101,40,942067,69th Street Transportation Center,,1,4114,295505,0,
101,40,942068,69th Street Transportation Center,,1,4107,295505,0,
101,40,942069,69th Street Transportation Center,,1,4102,295505,0,
101,40,942070,69th Street Transportation Center,,1,4104,295505,0,
101,40,942071,69th Street Transportation Center,,1,4118,295505,0,
101,40,942072,69th Street Transportation Center,,1,4107,295505,0,
101,40,942086,69th Street Transportation Center,,1,4109,295505,0,
101,40,942064,69th Street Transportation Center,,1,4104,295505,0,
101,40,942078,69th Street Transportation Center,,1,4118,295505,0,
101,40,942079,69th Street Transportation Center,,1,4101,295505,0,
101,40,942088,69th Street Transportation Center,,1,4104,295505,0,
101,40,942089,69th Street Transportation Center,,1,4118,295505,0,
101,40,942090,69th Street Transportation Center,,1,4101,295505,0,
101,40,942091,69th Street Transportation Center,,1,4104,295505,0,
101,40,942065,69th Street Transportation Center,,1,4118,295505,0,
101,40,942092,69th Street Transportation Center,,1,4101,295505,0,
101,40,942093,69th Street Transportation Center,,1,4114,295505,0,
101,40,942094,69th Street Transportation Center,,1,4109,295503,0,
102,40,942485,Sharon Hill,,0,4102,295520,0,
102,40,942486,Sharon Hill,,0,4101,295520,0,
102,40,942487,Sharon Hill,,0,4106,295520,0,
102,40,942511,Sharon Hill,,0,4107,295520,0,
102,40,942512,Sharon Hill,,0,4108,295520,0,
102,40,942513,Sharon Hill,,0,4104,295520,0,
102,40,942519,Sharon Hill,,0,4109,295520,0,
102,40,2762,Sharon Hill,,0,4110,295520,0,
102,40,942514,Sharon Hill,,0,4105,295520,0,
102,40,942515,Sharon Hill,,0,4102,295520,0,
102,40,942516,Sharon Hill,,0,4103,295520,0,
102,40,942517,Sharon Hill,,0,4101,295520,0,
102,40,942484,Sharon Hill,,0,4105,295520,0,
102,40,942483,Sharon Hill,,0,4102,295520,0,
102,40,942482,Sharon Hill,,0,4103,295520,0,
102,40,949937,North Street,,0,4111,295521,0,
102,40,942481,Sharon Hill,,0,4104,295520,0,
102,40,942480,Sharon Hill,,0,4102,295520,0,
102,40,942479,Sharon Hill,,0,4107,295520,0,
102,40,942478,Sharon Hill,,0,4101,295520,0,
102,40,942477,Sharon Hill,,0,4109,295520,0,
102,40,942476,Sharon Hill,,0,4103,295520,0,
